world,institution,mind,closest_paper,theory_benchmark,their_metric,our_metric,gap
pricing_arena,demand_shock,q_learning,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,demand_shock,dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,demand_shock,ppo,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,demand_shock,independent_dqn,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
pricing_arena,demand_shock,centralized_critic,"Artificial Intelligence, Algorithmic Pricing, and Collusion","static Nash prices, joint-profit price, profit-normalized Calvano-style collusion","collusion index, price/profit, welfare/profit, sometimes convergence","price collusion, profit collusion, exploitability, welfare, price dispersion, quantity/profit","institution robustness across learner capability and exploitability, not only collusion level"
resource_island,none,q_learning,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,none,dqn,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,none,ppo,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,none,independent_dqn,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,none,centralized_critic,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,property_rights,q_learning,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,property_rights,dqn,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,property_rights,ppo,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,property_rights,independent_dqn,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,property_rights,centralized_critic,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,redistribution,q_learning,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,redistribution,dqn,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,redistribution,ppo,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,redistribution,independent_dqn,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,redistribution,centralized_critic,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,trade_price_controls,q_learning,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,trade_price_controls,dqn,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,trade_price_controls,ppo,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,trade_price_controls,independent_dqn,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,trade_price_controls,centralized_critic,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,reputation_system,q_learning,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,reputation_system,dqn,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,reputation_system,ppo,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,reputation_system,independent_dqn,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
resource_island,reputation_system,centralized_critic,A Review of Design Principles for Community-based Natural Resource Management,oracle/greedy gather bounds plus institution activation thresholds,"cooperation, sustainability, inequality, returns, sanction/compliance rates","survival, welfare, trade, property pressure, sustainability, specialization, inequality",activation-validated institutions in a small reproducible spatial economy
auction_house,second_price,q_learning,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,second_price,dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,second_price,ppo,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,second_price,independent_dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,second_price,centralized_critic,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,first_price,q_learning,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,first_price,dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,first_price,ppo,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,first_price,independent_dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,first_price,centralized_critic,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,second_price_reserve,q_learning,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,second_price_reserve,dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,second_price_reserve,ppo,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,second_price_reserve,independent_dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,second_price_reserve,centralized_critic,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,clock,q_learning,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,clock,dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,clock,ppo,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,clock,independent_dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,clock,centralized_critic,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,public_signal,q_learning,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,public_signal,dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,public_signal,ppo,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,public_signal,independent_dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,public_signal,centralized_critic,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,noisy_signal,q_learning,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,noisy_signal,dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,noisy_signal,ppo,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,noisy_signal,independent_dqn,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
auction_house,noisy_signal,centralized_critic,Optimal Auctions through Deep Learning: Advances in Differentiable Economics,"truthful Vickrey, shaded first-price, reserve/no-sale benchmark, ex-post regret","revenue, regret, incentive compatibility, efficiency, bidder utility","revenue, efficiency, surplus, welfare, regret, over/underbidding, shading distance",known auction theory recovered inside the same cross-world capability ladder
public_goods,none,q_learning,THE EFFECT OF REWARDS AND SANCTIONS IN PROVISION OF PUBLIC GOODS,free-rider/social-optimum policy brackets and collapse diagnostics,"contribution, cooperation, punishment, welfare, sustainability","contribution, extraction, sustainability, welfare, inequality, tax revenue, collapse",separating reward-accounting institutions from state-changing institutions
public_goods,none,dqn,THE EFFECT OF REWARDS AND SANCTIONS IN PROVISION OF PUBLIC GOODS,free-rider/social-optimum policy brackets and collapse diagnostics,"contribution, cooperation, punishment, welfare, sustainability","contribution, extraction, sustainability, welfare, inequality, tax revenue, collapse",separating reward-accounting institutions from state-changing institutions
public_goods,none,ppo,THE EFFECT OF REWARDS AND SANCTIONS IN PROVISION OF PUBLIC GOODS,free-rider/social-optimum policy brackets and collapse diagnostics,"contribution, cooperation, punishment, welfare, sustainability","contribution, extraction, sustainability, welfare, inequality, tax revenue, collapse",separating reward-accounting institutions from state-changing institutions
public_goods,none,independent_dqn,THE EFFECT OF REWARDS AND SANCTIONS IN PROVISION OF PUBLIC GOODS,free-rider/social-optimum policy brackets and collapse diagnostics,"contribution, cooperation, punishment, welfare, sustainability","contribution, extraction, sustainability, welfare, inequality, tax revenue, collapse",separating reward-accounting institutions from state-changing institutions
public_goods,none,centralized_critic,THE EFFECT OF REWARDS AND SANCTIONS IN PROVISION OF PUBLIC GOODS,free-rider/social-optimum policy brackets and collapse diagnostics,"contribution, cooperation, punishment, welfare, sustainability","contribution, extraction, sustainability, welfare, inequality, tax revenue, collapse",separating reward-accounting institutions from state-changing institutions
