world,priority,role,title,authors,year,institution,mind,why_it_matters,theory_obligation,code_result_check,cache_status,match_score,matched_title,matched_authors,matched_year,matched_doi,url,pdf_url,has_extracted_text,text_path,manual_action,google_scholar_url
pricing_arena,supporting,deep_rl_pricing,Algorithmic Collusion in Dynamic Pricing with Deep Reinforcement Learning,Shidi Deng; Maximilian Schiffer; Martin Bichler,2024,none,"dqn,ppo",Closest deep-RL pricing anchor for the neural side of the ladder.,Compare whether neural agents reproduce or break tabular collusion patterns.,Phase 3 mind comparison table and price-cap diagnosis.,found_exact_or_close,1.000,Algorithmic Collusion in Dynamic Pricing with Deep Reinforcement Learning,Shidi Deng; Maximilian Schiffer; M. Bichler,2024,,https://www.semanticscholar.org/paper/4b271d4ab0ee1bc06daf59e6884f184d8dc0ab16,,True,literature/text/manual/pricing_arena__2024__algorithmic_collusion_in_dynamic_pricing_with_deep_reinforcement_learning.txt,ready_for_llm,https://scholar.google.com/scholar?q=Algorithmic+Collusion+in+Dynamic+Pricing+with+Deep+Reinforcement+Learning
auction_house,must_read,truthful_second_price,"Counterspeculation, Auctions, and Competitive Sealed Tenders",William Vickrey,1961,second_price,all,Original second-price auction truthfulness anchor.,"Second-price benchmark must include truthful bidding, efficiency, and regret.",worlds/auction_house/benchmarks.py; ex_post_regret and efficiency metrics.,not_found_in_cache,0.542,,,,10.1111/j.1540-6261.1961.tb02789.x,,,True,literature/text/manual/auction_house__1961__counterspeculation_auctions_and_competitive_sealed_tenders.txt,ready_for_llm,https://scholar.google.com/scholar?q=Counterspeculation%2C+Auctions%2C+and+Competitive+Sealed+Tenders
auction_house,must_read,optimal_auction,Optimal Auction Design,Roger B. Myerson,1981,reserve_price,all,Classical revenue-optimal auction theory and reserve-price obligation.,Reserve-price scenarios must report revenue/efficiency tradeoffs.,second_price_reserve scenario; revenue and allocative_efficiency columns.,not_found_in_cache,0.679,,,,10.2307/1912256,,,True,literature/text/manual/auction_house__1981__optimal_auction_design.txt,ready_for_llm,https://scholar.google.com/scholar?q=Optimal+Auction+Design
auction_house,must_read,learned_auction_design,Optimal auctions through deep learning,Paul Dutting; Zhe Feng; Harikrishna Narasimhan; David C. Parkes; Sai Srivatsa Ravindranath,2019,all,"dqn,ppo,centralized_critic","RegretNet line: auction-learning papers care about regret/IC, revenue, efficiency, and generalization.",Do not evaluate auctions only by bidder reward; include incentive-compatibility proxies.,"Auction House regret, revenue, efficiency, over/underbidding diagnostics.",found_exact_or_close,1.000,Optimal auctions through deep learning,Paul Dütting; Zhe Feng; Harikrishna Narasimhan; David C. Parkes; Sai Srivatsa Ravindranath,2019,,http://eprints.lse.ac.uk/104026/,http://eprints.lse.ac.uk/100806/87/Duetting_optimal_auctions_through_deep_learning_published.pdf,True,literature/text/2019_optimal_auctions_through_deep_learning.txt,ready_for_llm,https://scholar.google.com/scholar?q=Optimal+auctions+through+deep+learning
auction_house,core,ai_auction_design,Artificial Intelligence and Auction Design,Martino Banchio; Andrzej Skrzypacz,2022,"first_price,second_price",q_learning,Closest Q-learning auction-design paper for first-price versus second-price behavior.,Compare first-price bid shading/collusion-style low bids against second-price behavior.,Auction House first_price and second_price learned bid curves.,not_found_in_cache,0.805,,,,,,,True,literature/text/manual/auction_house__2022__artificial_intelligence_and_auction_design.txt,ready_for_llm,https://scholar.google.com/scholar?q=Artificial+Intelligence+and+Auction+Design
auction_house,core,repeated_auctions,Learning in repeated auctions,Thomas Nedelec; Clement Calauzenes; Noureddine El Karoui; Vianney Perchet,2020,all,"q_learning,dqn",Learning dynamics in repeated auction environments.,"Treat repeated auction learning as a dynamic strategic problem, not independent one-shot auctions.",Auction House repeated draws and final-window bid curves.,found_exact_or_close,1.000,Learning in repeated auctions,Thomas Nédelec; Clément Calauzènes; Noureddine El Karoui; Vianney Perchet,2020,10.48550/arxiv.2011.09365,http://arxiv.org/abs/2011.09365,https://arxiv.org/pdf/2011.09365,True,literature/text/2020_learning_in_repeated_auctions.txt,ready_for_llm,https://scholar.google.com/scholar?q=Learning+in+repeated+auctions
public_goods,must_read,public_goods_theory,The Pure Theory of Public Expenditure,Paul A. Samuelson,1954,none,all,Classical public-goods benchmark: private and social incentives diverge.,Report free-rider versus social-optimum brackets.,worlds/public_goods/benchmarks.py; public_goods_full summaries.,not_found_in_cache,0.514,,,,10.2307/1925895,,,True,literature/text/manual/public_goods__1954__the_pure_theory_of_public_expenditure.txt,ready_for_llm,https://scholar.google.com/scholar?q=The+Pure+Theory+of+Public+Expenditure
public_goods,must_read,collective_action,The Logic of Collective Action,Mancur Olson,1965,none,all,Foundational free-rider/collective-action framing.,Explain why low contribution is expected under private incentives.,baseline extraction/contribution/sustainability metrics.,not_found_in_cache,0.702,,,,,,,True,literature/text/manual/public_goods__1965__the_logic_of_collective_action.txt,ready_for_llm,https://scholar.google.com/scholar?q=The+Logic+of+Collective+Action
public_goods,must_read,punishment,Cooperation and Punishment in Public Goods Experiments,Ernst Fehr; Simon Gachter,2000,penalty_schedule,all,Canonical evidence that sanctions can sustain contributions.,"Penalty institutions must report whether contributions/sustainability change, not only reward penalties.",validate_public_goods_effects.py; penalty_schedule state-change classification.,not_found_in_cache,0.724,,,,10.1257/aer.90.4.980,,,True,literature/text/manual/public_goods__2000__cooperation_and_punishment_in_public_goods_experiments.txt,ready_for_llm,https://scholar.google.com/scholar?q=Cooperation+and+Punishment+in+Public+Goods+Experiments
public_goods,core,conditional_cooperation,Conditional Cooperation and Voluntary Contributions to Public Goods,Claudia Keser; Frans van Winden,2000,"reputation,information_restriction",all,Grounds contribution behavior in conditional cooperation rather than pure one-shot selfishness.,Information/reputation variants should be judged by contribution response and sustainability.,Public Goods reputation and information_restriction outputs.,found_exact_or_close,1.000,Conditional Cooperation and Voluntary Contributions to Public Goods,Claudia Keser; Frans van Winden,2000,10.1111/1467-9442.00182,https://doi.org/10.1111/1467-9442.00182,,True,literature/text/manual/public_goods__2000__conditional_cooperation_and_voluntary_contributions_to_public_goods.txt,ready_for_llm,https://scholar.google.com/scholar?q=Conditional+Cooperation+and+Voluntary+Contributions+to+Public+Goods
public_goods,core,rewards_sanctions,The Effect of Rewards and Sanctions in Provision of Public Goods,Martin Sefton; Robert Shupp; James M. Walker,2007,"penalty_schedule,contribution_matching",all,Directly maps to reward/sanction institution variants.,Separate welfare-improving cooperation from costly reward accounting.,Public Goods institution-effect validator.,found_exact_or_close,1.000,THE EFFECT OF REWARDS AND SANCTIONS IN PROVISION OF PUBLIC GOODS,Martín Sefton; Robert Shupp; James M. Walker,2007,10.1111/j.1465-7295.2007.00051.x,https://doi.org/10.1111/j.1465-7295.2007.00051.x,http://econfac.bsu.edu/research/workingpapers/bsuecwp200504sefton.pdf,True,literature/text/2007_the_effect_of_rewards_and_sanctions_in_provision_of_public_goods.txt,ready_for_llm,https://scholar.google.com/scholar?q=The+Effect+of+Rewards+and+Sanctions+in+Provision+of+Public+Goods
public_goods,supporting,networked_public_goods,"Cooperation and Contagion in Web-Based, Networked Public Goods Experiments",Siddharth Suri; Duncan J. Watts,2011,information_restriction,all,Supports the idea that interaction/network information changes cooperation.,Information restrictions should be treated as strategic observability changes.,information_restriction institution and contribution/sustainability deltas.,found_exact_or_close,1.000,"Cooperation and Contagion in Web-Based, Networked Public Goods Experiments",Siddharth Suri; Duncan J. Watts,2011,10.1371/journal.pone.0016836,https://doi.org/10.1371/journal.pone.0016836,,True,literature/text/manual/public_goods__2011__cooperation_and_contagion_in_web_based_networked_public_goods_experiments.txt,ready_for_llm,https://scholar.google.com/scholar?q=Cooperation+and+Contagion+in+Web-Based%2C+Networked+Public+Goods+Experiments
resource_island,must_read,commons,The Tragedy of the Commons,Garrett Hardin,1968,none,all,Basic common-resource overuse benchmark.,"Resource Island must report depletion/sustainability, not only agent reward.","resource_sustainability, survival, and gather/trade diagnostics.",not_found_in_cache,0.545,,,,10.1126/science.162.3859.1243,,,True,literature/text/manual/resource_island__1968__the_tragedy_of_the_commons.txt,ready_for_llm,https://scholar.google.com/scholar?q=The+Tragedy+of+the+Commons
resource_island,must_read,common_pool_governance,Governing the Commons,Elinor Ostrom,1990,"property_rights,reputation_system",all,Canonical common-pool institution design reference.,Property/reputation mechanisms must have activation diagnostics before interpretation.,"Resource Island v1 property opportunities, violations, and trade diagnostics.",not_found_in_cache,0.723,,,,,,,True,literature/text/manual/resource_island__1990__governing_the_commons.txt,ready_for_llm,https://scholar.google.com/scholar?q=Governing+the+Commons
resource_island,core,design_principles,A Review of Design Principles for Community-based Natural Resource Management,Michael Cox; Gwen Arnold; Sergio Villamayor-Tomas,2010,"property_rights,reputation_system",all,Operationalizes Ostrom-style design principles for natural-resource institutions.,"Check monitoring, boundaries, sanctions, and local incentive conditions.",Resource Island v1 contested layouts and activation thresholds.,found_exact_or_close,1.000,A Review of Design Principles for Community-based Natural Resource Management,Michael Cox; Gwen Arnold; Sergio Villamayor‐Tomás,2010,10.5751/es-03704-150438,https://doi.org/10.5751/es-03704-150438,https://www.ecologyandsociety.org/vol15/iss4/art38/ES-2010-3704.pdf,True,literature/text/2010_a_review_of_design_principles_for_community_based_natural_resource_management.txt,ready_for_llm,https://scholar.google.com/scholar?q=A+Review+of+Design+Principles+for+Community-based+Natural+Resource+Management
resource_island,core,sequential_social_dilemmas,Multi-agent Reinforcement Learning in Sequential Social Dilemmas,Joel Z. Leibo; Vinicius Flores Zambaldi; Marc Lanctot; Janusz Marecki; Thore Graepel,2017,all,"dqn,ppo,centralized_critic","Closest MARL framing for spatial, temporally extended commons/public-goods dilemmas.","Frame failed trade/institution activation as coordination/exploration evidence, not just low welfare.",Resource Island P.6 full trade-attempt and success diagnostics.,not_found_in_cache,0.679,,,,,,,True,literature/text/manual/resource_island__2017__multi_agent_reinforcement_learning_in_sequential_social_dilemmas.txt,ready_for_llm,https://scholar.google.com/scholar?q=Multi-agent+Reinforcement+Learning+in+Sequential+Social+Dilemmas
resource_island,supporting,social_preferences,Inequity aversion improves cooperation in intertemporal social dilemmas,Edward Hughes; Joel Z. Leibo; Matthew Phillips; Karl Tuyls; Edgar Duenas-Guzman; others,2018,"redistribution,reputation_system","dqn,ppo,centralized_critic",Shows how reward/social-preference modifications can change cooperation in sequential dilemmas.,"When institutions change rewards, check whether they alter state behavior or only accounting.",Resource Island and Public Goods welfare versus state-metric comparisons.,not_found_in_cache,0.564,,,,,,,True,literature/text/manual/resource_island__2018__inequity_aversion_improves_cooperation_in_intertemporal_social_dilemmas.txt,ready_for_llm,https://scholar.google.com/scholar?q=Inequity+aversion+improves+cooperation+in+intertemporal+social+dilemmas
resource_island,supporting,marl_benchmark,Scalable Evaluation of Multi-Agent Reinforcement Learning with Melting Pot,Joel Z. Leibo et al.,2021,all,"dqn,ppo,centralized_critic","Benchmark suite for social generalization, resource sharing, and social dilemmas.",Do not claim general social robustness from in-distribution training alone.,Cross-world synthesis and future held-out institution/world variants.,not_found_in_cache,0.647,,,,,,,True,literature/text/manual/resource_island__2021__scalable_evaluation_of_multi_agent_reinforcement_learning_with_melting_pot.txt,ready_for_llm,https://scholar.google.com/scholar?q=Scalable+Evaluation+of+Multi-Agent+Reinforcement+Learning+with+Melting+Pot
labor_market,must_read,stable_matching,College Admissions and the Stability of Marriage,David Gale; Lloyd S. Shapley,1962,deferred_acceptance,all,Foundational deferred-acceptance/stable-matching paper.,Verify matching validity and blocking-pair stability.,worlds/labor_market/benchmarks.py; labor_market_full stability metrics.,not_found_in_cache,0.552,,,,10.1080/00029890.1962.11989827,,,True,literature/text/manual/labor_market__1962__college_admissions_and_the_stability_of_marriage.txt,ready_for_llm,https://scholar.google.com/scholar?q=College+Admissions+and+the+Stability+of+Marriage
labor_market,must_read,incentives,The Economics of Matching: Stability and Incentives,Alvin E. Roth,1982,deferred_acceptance,all,Classical incentive result: stable mechanisms can be strategy-proof for one side but not both.,Do not interpret worker-side misreport profits under worker-proposing DA as expected theory.,labor_market_benchmark_cases.json; manipulation-gain diagnostics.,not_found_in_cache,0.584,,,,10.1287/moor.7.4.617,,,True,literature/text/manual/labor_market__1982__the_economics_of_matching_stability_and_incentives.txt,ready_for_llm,https://scholar.google.com/scholar?q=The+Economics+of+Matching%3A+Stability+and+Incentives
labor_market,core,market_design_application,Changing the Boston School Choice Mechanism,Atila Abdulkadiroglu; Parag A. Pathak; Alvin E. Roth; Tayfun Sonmez,2006,deferred_acceptance,q_learning,Applied market-design case for replacing manipulable mechanisms with deferred acceptance.,Use fixed benchmark cases to separate mechanism manipulation from noisy learned reports.,Labor Market fixed benchmark cases and full-run truthfulness/stability.,found_exact_or_close,1.000,Changing the Boston School Choice Mechanism,Atila Abdulkadiroğlu; Parag A. Pathak; Alvin E. Roth; Tayfun Sönmez,2006,10.3386/w11965,https://doi.org/10.3386/w11965,https://doi.org/10.3386/w11965,True,literature/text/2006_changing_the_boston_school_choice_mechanism.txt,ready_for_llm,https://scholar.google.com/scholar?q=Changing+the+Boston+School+Choice+Mechanism
labor_market,core,matching_overview,"Deferred Acceptance Algorithms: History, Theory, Practice, and Open Questions",Alvin E. Roth,2007,deferred_acceptance,all,Compact theory/practice bridge for DA mechanisms.,State which side proposes and what strategy-proofness claim is valid.,Labor Market DESIGN.md and benchmark cases.,found_exact_or_close,1.000,"Deferred Acceptance Algorithms: History, Theory, Practice, and Open Questions",Alvin E. Roth,2007,10.3386/w13225,https://doi.org/10.3386/w13225,https://doi.org/10.3386/w13225,True,literature/text/2007_deferred_acceptance_algorithms_history_theory_practice_and_open_questions.txt,ready_for_llm,https://scholar.google.com/scholar?q=Deferred+Acceptance+Algorithms%3A+History%2C+Theory%2C+Practice%2C+and+Open+Questions
labor_market,supporting,learning_matching,Learn to Match with No Regret: Reinforcement Learning in Markov Matching Markets,Yifei Min; Tianhao Wang; Ruitu Xu; Zhaoran Wang; Michael I. Jordan; Zhuoran Yang,2022,deferred_acceptance,"dqn,ppo,centralized_critic",Closest RL/matching-market anchor for future cross-mind labor-market work.,"If using deep RL in Labor Market, report regret/stability jointly, not reward alone.",Future Labor Market P.6 full ladder and synthesis.,not_found_in_cache,0.535,,,,,,,True,literature/text/manual/labor_market__2022__learn_to_match_with_no_regret_reinforcement_learning_in_markov_matching_markets.txt,ready_for_llm,https://scholar.google.com/scholar?q=Learn+to+Match+with+No+Regret%3A+Reinforcement+Learning+in+Markov+Matching+Markets
