claim_id,section,sentence,claim_type,support_type,existing_citations,missing_bib_keys,suggested_citations,artifact_support,status,fix
C0015,Introduction,"A mechanism is treated as robust only if it performs well across seeds, across learner classes, and under adversarial or exploitability-style checks.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0016,Introduction,"The central research question is: When the agents inside an institution move from random behavior and tabular Q-learning to function approximation, policy gradients, independent learners, or centralized critics, do the same economic institutions still reduce collusion, exploitability, inequality, and inefficient strategic behavior?",theory+method+result,none,none,none,"calvano2020, calvano2021, sutton2018, schulman2017, tan1993, lowe2017",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0021,Introduction,"Price caps reduce exploitability for every tested mind class, but their collusion effect depends on the operational metric and on learner architecture.",theory+result,none,none,none,"calvano2020, calvano2021",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0022,Introduction,"In the full Pricing Arena comparison, tabular Q-learning under no regulation has average price 5.49, total profit 365.34, and exploitability 95.69.",method+result,artifact,none,none,sutton2018,outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0023,Introduction,"Under a price cap, average price falls to 4.73 and exploitability falls to 40.32.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0024,Introduction,"For DQN-family learners, however, the cap can create a different pattern.",method,none,none,none,mnih2015,none,needs_citation,Consider adding \citep{mnih2015}.
C0025,Introduction,"A short-run mechanism trace shows profit falling under the cap, but a paired-seed budget audit shows the sign reversing as training continues.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0026,Introduction,"The DQN price-cap profit delta is negative after 1000 steps, mixed after 5000 steps, mostly positive after 10,000 steps, and positive in the existing 40,000-step full table.",method+result,none,none,none,mnih2015,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0027,Introduction,"That is the kind of result this platform is meant to surface: a regulation can look strong under one behavioral lens, weak under another, and different again when the learning horizon changes.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0028,Related Work,"The Pricing Arena is motivated by work showing that learning algorithms can sustain supra-competitive outcomes in repeated pricing environments calvano2020,calvano2021.",result,citation+artifact,"calvano2020, calvano2021",none,none,outputs/phase3_full/mind_comparison.csv,supported_citation_and_artifact,No action.
C0029,Related Work,"The exploitability protocol follows from the same concern: a learned institution should not only be evaluated by its on-policy average outcome, but also by its brittleness against strategic deviation.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0030,Related Work,"The learner suite follows standard reinforcement-learning baselines: tabular Q-learning and deep Q-networks sutton2018,mnih2015, PPO schulman2017, independent multi-agent Q-learning in the spirit of tan1993, and centralized-critic multi-agent learning lowe2017.",method+result,citation,"sutton2018, mnih2015, schulman2017, tan1993, lowe2017",none,none,none,supported_citation,No action.
C0031,Related Work,"The Auction House environment connects the platform back to classic mechanism-design results: truthful bidding in second-price auctions vickrey1961, revenue and allocation tradeoffs in auction design myerson1981,milgrom2004, and strategic bid shading in first-price auctions.",theory+result,citation+artifact,"vickrey1961, myerson1981, milgrom2004",none,none,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0032,Related Work,"The Public Goods and Resource Island environments connect the platform to public-goods and common-pool-resource theory samuelson1954,ostrom1990.",theory+result,citation+artifact,"samuelson1954, ostrom1990",none,"olson1965, hardin1968","outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv, outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0034,Related Work,"The Labor Market environment connects to two-sided matching and deferred acceptance, where truthful revelation and stability provide unusually sharp benchmark concepts galeshapley1962,rothsotomayor1990,roth1984.",theory+result,citation+artifact,"galeshapley1962, rothsotomayor1990, roth1984",none,vickrey1961,"outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_citation_and_artifact,No action.
C0036,Theory Obligations,"For each environment, the project records six claims before interpreting results: the classical benchmark, the known RL/MARL result, the metric obligation, what the repo reproduces, what the repo adds, and what the repo still cannot claim.",theory+method+limitation,none,none,none,none,none,manual_verify,Manually verify this claim against foundation cards or add a precise citation/artifact.
C0037,Theory Obligations,This prevents a runnable world from being mistaken for an economically meaningful world.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0038,Theory Obligations,"Pricing Arena & Static Nash and joint-profit pricing; repeated interaction can support supracompetitive prices. & Profit-normalized collusion, price proxy, welfare/profit, price dispersion, and exploitability. & Stylized finite-run duopoly evidence, not a theorem or real-market antitrust result.",theory+method+result+limitation,artifact,none,none,"calvano2020, calvano2021, schulman2017",outputs/phase3_full/mind_comparison.csv,supported_caveat,No action unless wording overclaims.
C0039,Theory Obligations,"\\ Resource Island & Common-pool governance requires monitoring, boundaries, credible enforcement, and local fit. & Survival, sustainability, trade, property pressure, inequality, specialization, and activation counters. & Not a realistic property-law or bargaining model; strict-local trade is an ablation for spatial-friction claims.",theory+result,artifact,none,none,"hardin1968, ostrom1990","outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0040,Theory Obligations,"\\ Auction House & Vickrey truthfulness, first-price bid shading, and reserve revenue/efficiency tradeoffs. & Revenue, allocative efficiency, surplus, welfare, regret, over/underbidding, shading distance, and bid curves. & Learned bidders are compared to benchmarks; convergence to equilibrium is not claimed.",theory+result+limitation,artifact,none,none,"vickrey1961, myerson1981, milgrom2004, dutting2019, banchio2022","outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",supported_caveat,No action unless wording overclaims.
C0041,Theory Obligations,"\\ Public Goods & Private incentives underprovide contribution and overuse shared resources. & Contribution, extraction, sustainability, welfare, inequality, tax revenue, and collapse diagnostics. & Reward-accounting effects must be separated from real state changes.",theory+result,artifact,none,none,"myerson1981, milgrom2004, samuelson1954, olson1965, zheng2020, zheng2021","outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0042,Theory Obligations,"\\ Labor Market & Worker-proposing deferred acceptance gives stability and strategy-proofness for the proposing side. & Match rate, blocking pairs, stability, truthfulness, welfare, and manipulation diagnostics. & Worker-side misreport gains should not be expected under worker-proposing DA; future manipulation tests need the correct side or mechanism.",theory+result,artifact,none,none,"vickrey1961, galeshapley1962, rothsotomayor1990, roth1984","outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0044,Theory Obligations,"It is used to keep each environment tied to a benchmark concept, a metric obligation, and a claim boundary before any learned-agent table is interpreted.",theory,none,none,none,none,none,manual_verify,Manually verify this claim against foundation cards or add a precise citation/artifact.
C0045,Pricing Arena.,"The burden of proof in Pricing Arena is unusually sharp: a collusion claim is not credible unless the code first recovers the static pricing references and then separates price, profit, quantity, welfare, and exploitability.",theory+result,artifact,none,none,"calvano2020, calvano2021",outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0046,Pricing Arena.,"Prior algorithmic-pricing work shows why this matters: Q-learning agents can learn supracompetitive prices without explicit communication calvano2020,calvano2021.",method+result,citation+artifact,"calvano2020, calvano2021",none,sutton2018,outputs/phase3_full/mind_comparison.csv,supported_citation_and_artifact,No action.
C0047,Pricing Arena.,"This environment therefore reports both price-normalized and profit-normalized collusion, and it adds a frozen-policy exploitability check.",theory+result,artifact,none,none,"calvano2020, calvano2021",outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0048,Pricing Arena.,"The main claim is finite-run and regulatory, not theorem-level: price caps reduce exploitability across mind classes, while DQN-family profit effects depend on training budget.",method+result,artifact,none,none,mnih2015,outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0050,Resource Island.,"A property-rights institution means little if no non-owner ever has a reason to contest a claimed cell, and a trade price control means nothing if all trades are mechanically one-for-one.",result,artifact,none,none,none,"outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0051,Resource Island.,"Common-pool governance theory emphasizes boundaries, monitoring, and local fit hardin1968,ostrom1990; the implemented metrics follow that logic by tracking survival, sustainability, trade, property pressure, inequality, and institution blocks.",theory+result,citation+artifact,"hardin1968, ostrom1990",none,none,"outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0055,Auction House.,Auction House has the clearest benchmark obligations.,theory,none,none,none,none,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",manual_verify,Manually verify this claim against foundation cards or add a precise citation/artifact.
C0056,Auction House.,"Second-price auctions make truthful bidding the reference point; first-price auctions make bid shading the reference point; reserve prices introduce a revenue-efficiency tradeoff vickrey1961,myerson1981,milgrom2004.",theory+result,citation+artifact,"vickrey1961, myerson1981, milgrom2004",none,none,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0058,Auction House.,"The comparison to learned-mechanism-design work is methodological rather than identical: this paper studies fixed mechanisms with learned bidders, while RegretNet-style work learns mechanisms under regret constraints dutting2019.",result,citation+artifact,dutting2019,none,banchio2022,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0059,Auction House.,"The current claim is therefore benchmark deviation under different learners, not convergence to auction equilibrium.",theory,none,none,none,none,"outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv",manual_verify,Manually verify this claim against foundation cards or add a precise citation/artifact.
C0060,Public Goods.,The Public Goods world is built around a metric trap.,theory,none,none,none,"samuelson1954, olson1965","outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",needs_citation,"Consider adding \citep{samuelson1954}, \citep{olson1965}."
C0061,Public Goods.,"Classical public-goods and commons theory predicts undercontribution or overuse when private incentives diverge from the social optimum samuelson1954,olson1965,hardin1968.",theory+result,citation+artifact,"samuelson1954, olson1965, hardin1968",none,ostrom1990,"outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0063,Public Goods.,"For that reason, the environment reports contribution, extraction, sustainability, collapse, inequality, welfare, and tax revenue separately.",result,artifact,none,none,"myerson1981, milgrom2004, zheng2020, zheng2021","outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0064,Public Goods.,"The result to look for is not only whether an institution increases welfare, but whether it changes the stock dynamics or merely changes accounting.",result,artifact,none,none,none,"outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0066,Labor Market.,"Worker-proposing deferred acceptance provides stable matching and strategy-proofness benchmarks for the proposing side under standard assumptions galeshapley1962,rothsotomayor1990,roth1984.",theory+result,citation+artifact,"galeshapley1962, rothsotomayor1990, roth1984",none,none,"outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_citation_and_artifact,No action.
C0067,Labor Market.,The environment therefore must be careful not to overinterpret learned worker misreports as profitable manipulation.,result,artifact,none,none,none,"outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0068,Labor Market.,"The relevant measurements are match rate, blocking-pair stability, total welfare, truthful-report rate, manipulation diagnostics, and fixed hand-checkable benchmark cases.",theory+result,artifact,none,none,vickrey1961,"outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0069,Labor Market.,Its contribution is not that deferred acceptance fails in general; it is that different learner architectures produce different welfare/stability/truthfulness tradeoffs in a deliberately worker-side learning formulation.,theory+result,artifact,none,none,"vickrey1961, galeshapley1962, rothsotomayor1990","outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0077,Validation Discipline,"Second, where theory provides a known answer, the implementation must recover or bracket that answer before learned-policy output is interpreted.",theory+result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0078,Validation Discipline,"The current known-answer runner reports 19/19 passing checks across Pricing Arena N-firm static Nash references, Auction House truthfulness and bid-shading cases, Public Goods free-rider and cooperative brackets, Labor Market deferred-acceptance benchmark cases, and Resource Island gather bounds.",theory+result,artifact,none,none,"vickrey1961, samuelson1954, olson1965","outputs/phase3_full/mind_comparison.csv, outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv, outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv, outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv, outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0079,Validation Discipline,"Third, the experiment must be replicated over seeds, with per-seed and aggregate CSV outputs.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0085,Validation Discipline,The second new validation layer is mechanism tracing.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0088,Validation Discipline,"In Pricing Arena, the 1000-step trace showed profit falling under a price cap even though the full table showed DQN profit increasing.",method+result,artifact,none,none,mnih2015,outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0089,Validation Discipline,That disagreement triggered the dedicated paired-seed price-cap audit described below.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0091,Learner Axis,"PPO is not ``more capable'' than DQN in a general sense, and independent-DQN is not simply one step above either one.",method,none,none,none,"mnih2015, schulman2017, tan1993",none,needs_citation,"Consider adding \citep{mnih2015}, \citep{schulman2017}, \citep{tan1993}."
C0092,Learner Axis,The cleaner independent variable is an assumption-violation axis: each learner changes a specific assumption behind the benchmark story.,theory,none,none,none,none,none,manual_verify,Manually verify this claim against foundation cards or add a precise citation/artifact.
C0093,Learner Axis,Tabular Q-learning is the discrete value-learning control; DQN adds function approximation and replay; PPO replaces off-policy value learning with on-policy stochastic policy optimization; independent-DQN makes each agent learn separately in a nonstationary multi-agent environment; and the centralized-critic scaffold adds centralized training information while retaining decentralized actions.,method+result,none,none,none,"sutton2018, mnih2015, schulman2017, tan1993",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0094,Learner Axis,"Tabular Q-learning & Exact finite table, no function approximation sutton2018. & Closest discrete learner to the textbook single-agent control.",method+result,citation,sutton2018,none,none,none,supported_citation,No action.
C0095,Learner Axis,"\\ DQN & Function approximation, replay, target network, and approximate value representation mnih2015. & Tests whether approximation changes institutional response.",method+result,citation,mnih2015,none,none,none,supported_citation,No action.
C0096,Learner Axis,\\ PPO & On-policy stochastic policy optimization with clipped updates schulman2017. & Tests whether policy-gradient learning finds different strategic channels.,method+result,citation,schulman2017,none,none,none,supported_citation,No action.
C0097,Learner Axis,\\ Independent-DQN & Separate learners interacting in a nonstationary multi-agent environment tan1993. & Tests whether independent learning changes stability and coordination.,method+result,citation,tan1993,none,mnih2015,none,supported_citation,No action.
C0098,Learner Axis,\\ Centralized critic & Centralized training signal for decentralized actors lowe2017. & Tests whether extra training information helps or destabilizes each institution.,method+result,citation,lowe2017,none,tan1993,none,supported_citation,No action.
C0099,Learner Axis,"\\ The DQN implementation uses replay, a target network, Huber TD loss, and a DeepMind-style centered RMSProp optimizer mnih2015.",method+result,citation,mnih2015,none,none,none,supported_citation,No action.
C0100,Learner Axis,"PPO uses categorical actions, GAE, clipped policy loss, value loss, entropy regularization, and minibatch epochs schulman2017.",method+result,citation,schulman2017,none,none,none,supported_citation,No action.
C0101,Learner Axis,"An important implementation issue was discovered and fixed during the project: the original independent-DQN condition behaved like a DQN alias in several tables mnih2015,tan1993.",method+result,citation,"mnih2015, tan1993",none,none,none,supported_citation,No action.
C0102,Learner Axis,"The corrected implementation now uses separate per-agent learners, decorrelated child random streams, separate replay and exploration randomness, and scoped PyTorch initialization.",result,none,none,none,mnih2015,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0103,Learner Axis,"Fixed independent-DQN replacement rows are now merged for Pricing Arena and Resource Island, and the same corrected condition is used in the completed Auction House, Public Goods, and Labor Market P.6 full learner-suite runs.",theory+method+result,artifact,none,none,"mnih2015, tan1993, samuelson1954, olson1965","outputs/phase3_full/mind_comparison.csv, outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv, outputs/auction_house_full/summary_aggregate.csv, outputs/auction_house_phase3_full/mind_comparison.csv, outputs/public_goods_full/summary_aggregate.csv, outputs/public_goods_phase3_full/mind_comparison.csv, outputs/labor_market_full/summary_aggregate.csv, outputs/labor_market_phase3_full/mind_comparison.csv, outputs/labor_market_benchmark_cases.json",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0107,World,"Firms earn profit from demand net of costs, and learning agents update from repeated play.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0108,World,"The implemented mechanisms are no regulation, price cap, high-price tax, random audits, anti-collusion penalty, and demand shocks.",theory+result,none,none,none,"calvano2020, calvano2021, zheng2020, zheng2021",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0109,Metrics,"The main metrics are average price, total profit, consumer surplus, welfare, exploitability, and two collusion indexes.",theory+result,none,none,none,"calvano2020, calvano2021",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0111,Metrics,The literature-comparable metric is a profit-normalized index: CI_profit = _observed - _Nash _monopoly - _Nash.,theory+result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0113,Main Result,Table reftab:pricing-cap shows a compact version of the mature Pricing Arena result for Q-learning and random baselines.,method,none,none,none,sutton2018,outputs/phase3_full/mind_comparison.csv,needs_citation,Consider adding \citep{sutton2018}.
C0114,Main Result,Price caps reduce exploitability and raise welfare relative to the no-regulation case in these rows.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0115,Main Result,Selected Pricing Arena full-run results from the Phase 3 comparison output. The more interesting finding appears when the learner architecture changes.,result,artifact,none,none,none,outputs/phase3_full/mind_comparison.csv,supported_artifact,No citation required unless the sentence also invokes prior theory.
C0116,Main Result,"In the Phase 3 table, price caps reduce exploitability across tested minds, but collusion is metric-sensitive for stronger learners.",theory+result,none,none,none,"calvano2020, calvano2021",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0117,Main Result,"DQN-family agents can sit effectively at the cap, with low price dispersion, while maintaining high total profit.",method+result,none,none,none,mnih2015,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0118,Main Result,"The short-run mechanism trace initially contradicted this headline result: at 1000 steps, profit fell under the cap for every tested mind.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0119,Main Result,A dedicated paired-seed audit resolves the discrepancy.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0121,Main Result,"For DQN, the cap-minus-none profit delta is negative at 1000 steps, mixed at 5000 steps, mostly positive at 10,000 steps, and positive in the existing 40,000-step full-run audit.",method+result,none,none,none,mnih2015,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0124,Main Result,"The 40,000-step row comes from the existing n=20 full-run table; the shorter rows are fresh local audits. This correction also tightens the economic interpretation.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0126,Main Result,"At 1000 and 10,000 steps, welfare and quantity can rise while profit behavior is unstable across seeds.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0127,Main Result,"In the 40,000-step full table, the DQN profit effect is statistically positive (\( =55.358\), 95\% CI \(=[4.859,105.857]\), positive seed share \(0.85\)), but the mean quantity delta is small.",method+result,none,none,none,mnih2015,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0128,Main Result,The safer claim is that the price cap becomes a focal constraint that some DQN runs learn to exploit or coordinate around after sufficient training; it is not a simple short-horizon quantity story.,method,none,none,none,mnih2015,none,needs_citation,Consider adding \citep{mnih2015}.
C0134,What v0 Taught,"In the initial full run, successful trade was sparse and some institutions did not bind.",result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0135,What v0 Taught,"Follow-up replay showed that property rights almost never faced behavioral pressure: even when claims existed, non-owner opportunities to gather from claimed resource cells were extremely rare.",method,none,none,none,"mnih2015, schulman2017",none,needs_citation,"Consider adding \citep{mnih2015}, \citep{schulman2017}."
C0137,What v0 Taught,"This is an important negative result for the platform: a world can be runnable, tested, and statistically replicated while still failing to exercise the institution it is supposed to study.",method,none,none,none,schulman2017,none,needs_citation,Consider adding \citep{schulman2017}.
C0138,v1 Hardening,"Resource Island v1 adds four changes, motivated by common-pool-governance and public-goods work on monitoring, local fit, incentives, and repeated interaction ostrom1990,fehrgachter2000,isaac1994: contested resource layouts, so multiple agents have reason to access the same cells; unequal trade offers, so price controls can actually bind; specialization pressure through heterogeneous resource preferences and starting inventories; activation diagnostics for trade attempts, blocked trades, property opportunities, property violations, and institution blocks.",theory+method+result,citation+artifact,"ostrom1990, fehrgachter2000, isaac1994",none,"schulman2017, samuelson1954, olson1965, hardin1968","outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv",supported_citation_and_artifact,No action.
C0139,v1 Hardening,"The v1 validation run verified that the economic channels were active, and the subsequent n=20 full run preserves that activation.",result,none,none,none,"myerson1981, milgrom2004",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0140,v1 Hardening,Table reftab:resource-v1 shows the medium validation values used as the pre-full-run gate.,result,none,none,none,none,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0141,v1 Hardening,Resource Island v1 validation results. The interpretation is straightforward.,result,artifact,none,none,none,"outputs/resource_island_v1_full/summary_aggregate.csv, outputs/resource_island_v1_phase3_full/mind_comparison.csv",supported_artifact,No citation required unless the sentence also invokes prior theory.
C0143,v1 Hardening,Reputation increases successful trade and welfare in the validation setting.,result,none,none,none,"fehrgachter2000, isaac1994, ostrom1990",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0144,v1 Hardening,"Property-right opportunities are present, although the welfare effect is small in this medium run.",method+result,none,none,none,schulman2017,none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0145,v1 Hardening,"The full n=20 v1 run confirms the activation pattern: successful trade appears under no institution, price controls bind and suppress trade, property-right opportunities are measured, and reputation produces the strongest welfare gains in this pressure setup.",method+result,none,none,none,"schulman2017, fehrgachter2000, isaac1994, ostrom1990",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
C0146,v1 Hardening,"The strict-local ablation confirms that this remains partly a spatial-friction story: reducing trade from all-island matching to radius-one local matching cuts baseline trade from 5.325 to 1.900 and reputation trade from 6.667 to 1.927, while property opportunities and price-control blocks remain positive.",method+result,none,none,none,"schulman2017, fehrgachter2000, isaac1994, ostrom1990",none,needs_artifact,Add or name the output artifact/table supporting this numeric/result claim.
